Reg,Country
2-,GG
3A-,MC
3B-,MU
3C-,GQ
3X-,GN
4K-,AZ
4L-,GE
4O-,ME
4R-,LK
4X-,IL
5A-,LY
5B-,CY
5H-,TZ
5N-,NG
5R-,MG
5T-,MR
5U-,NE
5V-,TG
5W-,WS
5X-,UG
5Y-,KE
6O-,SO
6V-,SN
6Y-,JM
7O-,YE
7P-,LS
7Q-,MW
7T-,DZ
8P-,BB
8Q-,MV
8R-,GY
9A-,HR
9G-,GH
9H-,MT
9J-,ZM
9K-,KW
9L-,SL
9M-,MY
9N-,NP
9Q-,CD
9U-,BI
9V-,SG
9XR-,RW
9Y-,TT
A2-,BW
A3-,TO
A4O-,OM
A5-,BT
A6-,AE
A7-,QA
A8-,LR
A9C-,BH
AP-,PK
B-,CN
B-H-,HK
B-M-,MO
C-,CA
C2-,NR
C3-,AD
C5-,GM
C6-,BS
C9-,MZ
CC-,CL
CN-,MA
CP-,BO
CR-,PT
CS-,PT
CU-,CU
CX-,UY
D-,DE
D2-,AO
D6-,KM
DQ-,FJ
E3-,ER
E5-,CK
EC-,ES
EI-,IE
EK-,AM
EP-,IR
ER-,MD
ES-,EE
ET-,ET
EW-,BY
EX-,KG
EY-,TJ
EZ-,TM
F-,FR
F-OH-,PF
G-,GB
H4-,SB
HA-,HU
HB-,CH
HC-,EC
HH-,HT
HI-,DO
HJ-,CO
HK-,CO
HL-,KR
HP-,PA
HR-,HN
HS-,TH
HZ-,SA
I-,IT
J2-,DJ
J3-,GD
J5-,GW
J6-,LC
J7-,DM
J8-,VC
JA-,JP
JU-,MN
JY-,JO
LN-,NO
LV-,AR
LX-,LU
LY-,LT
LZ-,BG
N-,US
OB-,PE
OD-,LB
OE-,AT
OH-,FI
OK-,CZ
OM-,SK
OO-,BE
OY-,DK
P-,KP
P2-,PG
P4-,AW
PH-,NL
PJ-,CW
PK-,ID
PP-,BR
PZ-,SR
RA-,RU
RDPL-,LA
RP-,PH
S2-,BD
S5-,SI
S7-,SC
S9-,ST
SE-,SE
SP-,PL
ST-,SD
SU-,EG
SX-,GR
T2-,TV
T3-,KI
T7-,SM
T8-,PW
T9-,BA
TC-,TR
TF-,IS
TG-,GT
TI-,CR
TJ-,CM
TL-,CF
TN-,CG
TR-,GA
TS-,TN
TT-,ML
TU-,CI
TY-,BJ
TZ-,ML
UK-,UZ
UP-,KZ
UR-,UA
V2-,AG
V3-,BZ
V4-,KN
V5-,NA
V6-,FM
V7-,MH
V8-,BN
VH-,AU
VN-,VN
VP-A-,AI
VP-B-,BM
VP-C-,KY
VP-F-,FK
VP-G-,GI
VP-L-,VG
VP-M-,MS
VQ-T,TC
VT-,IN
XA-,MX
XT-,BF
XU-,KH
XY-,MM
YA-,AF
YI-,IQ
YJ-,VU
YK-,SY
YL-,LV
YN-,NI
YR-,RO
YS-,SV
YU-,RS
YV-,VE
Z-,ZW
Z8-,SS
ZA-,AL
ZK-,NZ
ZP-,PY
ZS-,ZA
